,word,detail_count,not_detail_count,stat,p,reject,fisher
0,about,50,42,0.9577494866310962,0.3277545450719886,ACCEPT,False
1,above,15,0,8.448165359911389,0.003654118757087796,REJECT,False
2,across,9,0,inf,0.013785158741037891,REJECT,True
3,after,38,24,0.009158609719237133,0.9237583441122709,ACCEPT,False
4,against,17,12,0.0025153793545150335,0.9600000204953151,ACCEPT,False
5,along,15,0,8.448165359911389,0.003654118757087796,REJECT,False
6,among,14,13,0.43011242816266726,0.511933786618215,ACCEPT,False
7,around,8,0,inf,0.02521392390885113,REJECT,True
8,as,203,134,0.005672810396611961,0.9399616512549686,ACCEPT,False
9,at,239,116,7.907850012440252,0.004922073325194035,REJECT,False
10,before,47,24,0.929403903766011,0.3350178682249272,ACCEPT,False
11,behind,12,0,inf,0.002455012450743315,REJECT,True
12,beside,7,0,inf,0.04675106132229724,REJECT,True
13,between,16,7,0.5391678904029764,0.46277778434594863,ACCEPT,False
14,beyond,8,0,inf,0.02521392390885113,REJECT,True
15,by,134,71,2.344921603594894,0.12569188480936394,ACCEPT,False
16,down,47,11,9.943001992395448,0.0016146202205057452,REJECT,False
17,during,8,8,0.30475829269749694,0.5809146616780605,ACCEPT,False
18,for,211,191,8.91704035231372,0.002825219915804036,REJECT,False
19,from,113,67,0.5124894062810413,0.47406319236849215,ACCEPT,False
20,in,535,299,6.20655288805506,0.012727824092617242,REJECT,False
21,into,87,33,7.442944300539575,0.006368561824842411,REJECT,False
22,like,44,25,0.2862274328993415,0.5926482850177996,ACCEPT,False
23,of,1017,568,12.188625802377388,0.0004808179071573432,REJECT,False
24,off,24,18,0.042311533588726295,0.8370270746393167,ACCEPT,False
25,on,223,116,4.683889870935499,0.03044673070170938,REJECT,False
26,out,61,34,0.5706314404525966,0.45000810783323275,ACCEPT,False
27,over,38,22,0.17050655670197332,0.6796620065980288,ACCEPT,False
28,past,5,0,inf,0.0874129289997089,ACCEPT,True
29,through,35,10,5.277142716848886,0.021607178506023023,REJECT,False
30,to,331,254,2.5512975486446585,0.11020371491785455,ACCEPT,False
31,towards,14,15,1.180977913904193,0.2771570016277768,ACCEPT,False
32,under,21,12,0.06851825149331796,0.7935065473138261,ACCEPT,False
33,until,10,5,0.07411849862628211,0.785432007033074,ACCEPT,False
34,up,84,30,8.482044810734017,0.0035866872798446963,REJECT,False
35,with,326,127,27.19458619935868,1.8397311185480371e-07,REJECT,False
36,within,13,0,7.118759576910055,0.007628146637715663,REJECT,False
37,without,32,21,0.00456141654351116,0.946153204588158,ACCEPT,False
